 ,Area,X,Y,Perim.,Angle,Length
194,627.254,893.766,797.136,89.823,0,0
195,151.564,856.737,806.063,43.395,0,0
196,289.432,809.533,806.83,60.459,0,0
197,485.734,898.628,808.765,79.307,0,0
198,418.169,786.56,816.106,72.362,0,0
199,325.953,807.935,816.198,63.852,0,0
200,508.56,833.973,816.198,80.05,0,0
201,289.432,853.943,816.965,60.227,0,0
202,289.432,853.943,816.965,60.227,0,0
203,507.647,800.995,822.122,80.031,0,0
204,495.777,906.398,822.279,81.724,0,0
205,607.624,882.646,832.965,91.264,0,0
206,363.387,825.995,834.44,67.745,0,0
207,377.996,848.747,837.819,69.061,0,0
208,444.191,812.481,840.184,74.488,0,0
209,1035.837,846.594,843.779,114.02,0,0
210,170.737,796.721,848.747,46.112,0,0
211,586.624,823.502,848.852,85.855,0,0
212,345.583,865.859,848.967,66.058,0,0
213,582.515,856.062,854.781,85.586,0,0
214,345.127,869.106,854.573,67.217,0,0
215,133.303,839.612,855.62,41.025,0,0
216,264.78,798.293,858.764,57.676,0,0
217,512.212,817.661,868.47,82.364,0,0
218,456.973,870.262,871.259,76.066,0,0
219,358.822,829.151,879.034,66.942,0,0
220,431.408,832.423,890.775,76.606,0,0
221,157.042,839.846,896.939,44.584,0,0
