 ,Area,X,Y,Perim.,Angle,Length
1,67.868,1029.147,1326.288,100.000,0.064,100.000
2,1157.372,1307.429,832.931,121.091,0.000,0.000
3,1712.077,1293.675,810.700,147.170,0.000,0.000
4,456.976,1291.292,794.570,76.432,0.000,0.000
5,425.757,1282.746,787.323,73.975,0.000,0.000
6,222.606,1285.252,784.170,54.020,0.000,0.000
7,283.687,1292.018,790.231,62.687,0.000,0.000
8,631.170,1286.922,780.948,91.796,0.000,0.000
9,464.668,1287.554,772.181,78.896,0.000,0.000
10,1449.203,1287.099,775.070,137.666,0.000,0.000
11,1094.933,1307.622,764.798,118.776,0.000,0.000
12,1242.432,1328.632,757.731,125.510,0.000,0.000
13,646.554,1334.046,763.090,90.214,0.000,0.000
14,396.800,1332.174,707.959,70.856,0.000,0.000
15,1007.158,1349.174,729.835,112.541,0.000,0.000
16,2193.486,1348.520,723.424,166.190,0.000,0.000
17,700.848,1367.161,715.020,94.119,0.000,0.000
18,1529.287,1381.073,696.854,139.466,0.000,0.000
19,1921.562,1381.933,711.146,156.802,0.000,0.000
20,1027.518,1394.913,703.931,114.331,0.000,0.000
21,849.704,1348.000,642.568,104.504,0.000,0.000
22,802.197,1353.834,657.518,100.504,0.000,0.000
23,1092.671,1361.774,673.135,117.282,0.000,0.000
24,198.626,1384.498,676.685,50.813,0.000,0.000
