 ,Area,X,Y,Perim.,Angle,Length
1,220.374,1692.881,2166.888,200.000,-0.157,200.000
2,1305.476,2393.973,1719.283,129.009,0.000,0.000
3,988.090,2362.598,1739.550,111.703,0.000,0.000
4,1366.558,2383.015,1693.236,131.025,0.000,0.000
5,1482.733,2354.310,1671.462,142.515,0.000,0.000
6,1391.709,2347.462,1690.282,133.473,0.000,0.000
7,1408.477,2313.535,1717.094,133.470,0.000,0.000
8,2157.029,2340.348,1728.585,165.299,0.000,0.000
9,2081.575,2295.802,1684.599,166.358,0.000,0.000
10,925.810,2312.462,1665.102,107.870,0.000,0.000
11,2097.145,2289.711,1653.061,167.161,0.000,0.000
12,988.090,2292.557,1638.824,111.598,0.000,0.000
13,1770.177,2264.016,1618.582,153.007,0.000,0.000
14,731.785,2238.865,1616.983,96.375,0.000,0.000
15,1619.269,2265.908,1644.520,146.362,0.000,0.000
16,1107.858,2233.098,1635.562,117.668,0.000,0.000
17,964.136,2219.420,1622.451,110.048,0.000,0.000
18,2336.682,2198.627,1664.264,171.208,0.000,0.000
19,1664.781,2202.248,1705.953,146.950,0.000,0.000
20,1437.221,2201.612,1633.122,134.550,0.000,0.000
21,2331.891,2194.294,1614.554,174.077,0.000,0.000
22,1928.272,2176.446,1784.372,158.348,0.000,0.000
23,1840.841,2177.501,1583.599,154.661,0.000,0.000
24,469.492,2148.029,1784.399,76.643,0.000,0.000
25,1556.990,2155.077,1765.247,139.877,0.000,0.000
26,2184.576,2156.473,1732.163,170.164,0.000,0.000
27,1264.755,2146.094,1740.385,126.156,0.000,0.000
28,1668.374,2072.793,1817.470,146.862,0.000,0.000
29,1838.445,2038.460,1780.195,152.778,0.000,0.000
30,1567.769,2057.439,1768.148,140.869,0.000,0.000
31,1123.428,2062.164,1791.513,118.974,0.000,0.000
32,2494.776,2091.734,1763.029,182.751,0.000,0.000
33,1663.584,2075.306,1742.281,146.521,0.000,0.000
34,1521.059,2097.515,1738.636,140.274,0.000,0.000
35,1459.977,2071.631,1722.821,137.337,0.000,0.000
36,1498.303,2092.080,1715.622,138.010,0.000,0.000
37,1475.547,2133.030,1696.984,138.089,0.000,0.000
38,2066.005,2154.124,1674.783,160.885,0.000,0.000
39,1664.781,2140.404,1678.102,147.933,0.000,0.000
40,2134.273,2098.642,1618.221,164.036,0.000,0.000
41,1892.341,2134.763,1595.230,154.135,0.000,0.000
42,1876.771,2118.022,1596.330,153.264,0.000,0.000
43,1364.162,2140.932,1571.851,131.229,0.000,0.000
44,1980.970,2096.112,1570.446,157.638,0.000,0.000
45,1597.711,2095.752,1506.554,141.712,0.000,0.000
46,1323.441,2080.846,1542.671,129.314,0.000,0.000
47,1121.033,2107.466,1543.087,118.820,0.000,0.000
48,976.113,2124.512,1557.619,110.604,0.000,0.000
49,1203.673,2068.716,1519.333,122.967,0.000,0.000
50,808.437,2168.672,1694.802,100.846,0.000,0.000
51,996.473,2133.304,1662.741,111.925,0.000,0.000
52,677.889,2136.653,1630.638,92.367,0.000,0.000
53,1403.686,2058.565,1484.454,132.977,0.000,0.000
54,1904.318,2035.183,1487.651,154.543,0.000,0.000
55,2105.529,1992.176,1476.329,162.735,0.000,0.000
56,1601.304,1995.449,1450.778,141.861,0.000,0.000
57,1566.571,1995.402,1422.704,140.241,0.000,0.000
58,1601.304,2003.110,1432.934,141.712,0.000,0.000
59,1722.270,1992.727,1396.994,147.049,0.000,0.000
60,1858.806,2004.918,1372.695,152.972,0.000,0.000
61,1053.962,2022.020,1361.010,115.390,0.000,0.000
62,1185.707,1992.466,1350.066,122.389,0.000,0.000
63,2031.273,1975.370,1323.115,159.870,0.000,0.000
64,1503.094,1967.342,1302.753,139.124,0.000,0.000
65,1531.838,1965.493,1483.256,139.574,0.000,0.000
66,1313.860,1960.457,1492.336,128.398,0.000,0.000
67,1838.445,1924.211,1525.854,152.336,0.000,0.000
68,1834.852,1937.820,1539.479,152.546,0.000,0.000
69,1767.782,1931.594,1508.066,151.053,0.000,0.000
