 ,Area,X,Y,Perim.,Angle,Length
1,54.247,834.110,1065.887,100.000,0.103,100.000
2,1272.909,430.715,335.693,129.987,0.000,0.000
3,447.027,402.152,336.476,80.195,0.000,0.000
4,802.675,448.275,343.604,104.792,0.000,0.000
5,426.720,457.806,299.840,73.486,0.000,0.000
6,1445.802,460.502,325.314,139.648,0.000,0.000
7,571.765,467.362,335.007,84.798,0.000,0.000
8,805.866,471.629,299.265,100.763,0.000,0.000
9,581.338,466.291,318.046,85.539,0.000,0.000
10,696.793,487.013,346.600,93.619,0.000,0.000
11,441.805,411.486,376.103,74.960,0.000,0.000
12,273.844,486.630,337.441,58.947,0.000,0.000
13,745.818,425.927,392.209,97.433,0.000,0.000
14,880.709,434.769,388.974,105.328,0.000,0.000
15,704.335,444.075,382.405,94.061,0.000,0.000
16,1268.268,488.248,384.941,128.533,0.000,0.000
17,1079.710,452.027,377.411,118.571,0.000,0.000
18,1691.507,467.886,367.205,150.062,0.000,0.000
19,890.282,409.066,419.299,108.316,0.000,0.000
20,303.143,441.223,425.494,62.013,0.000,0.000
21,1001.966,419.568,420.915,119.072,0.000,0.000
22,380.886,442.459,414.452,69.373,0.000,0.000
23,444.126,426.573,408.130,74.662,0.000,0.000
24,310.105,418.115,390.095,62.438,0.000,0.000
25,208.574,409.610,382.934,51.446,0.000,0.000
26,263.691,398.159,464.901,57.777,0.000,0.000
27,910.298,413.643,478.676,112.206,0.000,0.000
28,819.500,415.978,484.459,106.577,0.000,0.000
29,811.958,490.139,397.350,101.372,0.000,0.000
30,529.122,490.499,401.936,84.525,0.000,0.000
31,1086.092,430.733,462.922,116.877,0.000,0.000
32,1173.989,442.732,474.930,121.440,0.000,0.000
33,666.334,446.408,456.101,93.264,0.000,0.000
34,565.093,452.550,488.638,84.246,0.000,0.000
35,591.491,468.858,474.090,86.901,0.000,0.000
36,683.449,467.117,447.031,93.627,0.000,0.000
37,371.894,483.013,456.610,68.512,0.000,0.000
38,233.521,475.462,457.831,54.345,0.000,0.000
39,730.153,494.572,421.864,96.852,0.000,0.000
40,839.226,506.286,426.834,104.197,0.000,0.000
41,1167.897,535.787,446.219,124.375,0.000,0.000
42,1178.340,507.239,468.993,121.654,0.000,0.000
43,864.754,529.712,458.078,104.341,0.000,0.000
44,700.854,535.367,463.195,93.570,0.000,0.000
45,402.063,497.256,450.675,71.536,0.000,0.000
46,288.928,486.231,446.768,60.310,0.000,0.000
47,617.309,513.823,520.286,88.105,0.000,0.000
48,963.094,514.504,507.756,110.098,0.000,0.000
49,501.853,543.177,501.974,79.519,0.000,0.000
50,305.173,569.725,469.232,61.885,0.000,0.000
51,495.181,567.414,496.471,78.801,0.000,0.000
52,839.226,516.786,499.550,102.905,0.000,0.000
