 ,Area,X,Y,Perim.,Angle,Length
1,67.868,1029.258,1332.060,100.000,-0.128,100.000
2,1302.604,1293.748,1011.061,129.003,0.000,0.000
3,1230.665,1284.078,1015.020,124.670,0.000,0.000
4,1384.498,1283.641,1087.417,134.106,0.000,0.000
5,1607.103,1309.879,1049.570,142.674,0.000,0.000
6,1442.864,1289.242,1039.215,140.260,0.000,0.000
7,1727.455,1297.532,1045.717,153.384,0.000,0.000
8,466.929,1274.937,1074.213,79.915,0.000,0.000
9,1420.694,1262.354,1093.057,135.811,0.000,0.000
10,1277.267,1246.595,1130.710,127.516,0.000,0.000
11,708.990,1239.016,1097.952,94.527,0.000,0.000
12,1429.290,1230.263,1086.090,135.655,0.000,0.000
13,1125.696,1215.006,1123.989,120.370,0.000,0.000
14,927.523,1259.425,1052.043,108.543,0.000,0.000
15,1216.186,1256.071,1037.888,123.653,0.000,0.000
16,938.834,1150.459,1135.398,108.642,0.000,0.000
17,923.451,1178.929,1113.675,107.762,0.000,0.000
18,778.214,1158.966,1127.123,98.912,0.000,0.000
19,930.238,1174.437,1085.648,108.231,0.000,0.000
20,963.267,1189.505,1078.479,113.374,0.000,0.000
21,1385.403,1203.584,1092.815,134.795,0.000,0.000
22,1498.515,1233.190,1052.455,137.195,0.000,0.000
23,672.341,1230.514,1075.989,91.974,0.000,0.000
24,1514.803,1188.794,1048.666,138.411,0.000,0.000
25,1171.846,1206.710,1029.602,122.740,0.000,0.000
26,915.759,1150.206,1069.052,107.775,0.000,0.000
27,963.719,1167.886,1043.922,110.785,0.000,0.000
28,218.986,1151.567,1041.253,52.279,0.000,0.000
29,799.480,1139.882,1041.676,100.240,0.000,0.000
30,1241.071,1139.989,1064.570,124.845,0.000,0.000
31,1329.751,1118.163,1061.561,129.354,0.000,0.000
32,1510.279,1099.086,1069.061,139.188,0.000,0.000
33,1276.362,1098.312,1054.375,126.754,0.000,0.000
34,1334.728,1091.721,1032.731,130.596,0.000,0.000
35,1386.308,1072.862,1057.607,133.260,0.000,0.000
36,1292.650,1191.942,1011.857,128.932,0.000,0.000
37,1041.541,1178.448,1024.213,116.083,0.000,0.000
38,2172.214,1163.396,995.380,176.861,0.000,0.000
39,811.696,1132.060,1010.763,100.822,0.000,0.000
40,2263.609,1150.675,993.256,176.874,0.000,0.000
41,1632.893,1142.734,956.256,146.255,0.000,0.000
42,453.355,1124.086,956.164,75.522,0.000,0.000
43,518.508,1119.953,938.002,84.284,0.000,0.000
44,1421.146,1153.120,928.512,133.653,0.000,0.000
45,1008.964,1148.528,917.599,112.585,0.000,0.000
46,716.229,1124.512,908.328,97.339,0.000,0.000
47,304.951,1130.259,899.735,61.935,0.000,0.000
48,581.851,1106.545,910.760,85.753,0.000,0.000
49,940.644,1101.505,878.187,108.894,0.000,0.000
50,845.177,1091.716,888.681,106.614,0.000,0.000
51,1275.910,1099.163,915.795,134.603,0.000,0.000
52,543.393,1109.620,899.916,83.652,0.000,0.000
53,1202.613,1085.398,924.944,126.138,0.000,0.000
54,1896.219,1065.641,946.836,157.482,0.000,0.000
55,2053.219,1045.051,945.643,162.244,0.000,0.000
56,2048.695,1010.938,952.583,165.087,0.000,0.000
57,1343.325,1058.406,1059.751,130.197,0.000,0.000
58,1240.619,1052.016,1047.307,125.135,0.000,0.000
59,1358.256,1083.644,994.730,131.304,0.000,0.000
60,474.168,1065.014,987.533,77.257,0.000,0.000
61,1066.425,1054.949,989.212,118.887,0.000,0.000
62,1678.590,1028.355,1042.485,148.540,0.000,0.000
63,922.094,1031.421,1048.517,107.554,0.000,0.000
64,1470.011,997.441,1056.806,135.950,0.000,0.000
65,1022.990,966.698,1063.353,113.391,0.000,0.000
66,934.762,964.028,1046.631,110.048,0.000,0.000
67,1235.642,961.545,1032.682,124.576,0.000,0.000
68,1497.610,970.836,1023.582,138.257,0.000,0.000
69,1374.996,990.020,1032.048,137.605,0.000,0.000
70,1941.917,1011.657,997.531,159.132,0.000,0.000
71,1360.970,1028.579,983.834,132.016,0.000,0.000
72,380.511,1022.625,997.737,69.138,0.000,0.000
73,524.842,991.478,1004.048,81.270,0.000,0.000
74,1160.082,1063.437,1015.149,120.750,0.000,0.000
75,903.543,1039.711,1003.922,106.478,0.000,0.000
76,1255.549,1042.935,980.496,125.818,0.000,0.000
77,1240.619,1008.158,948.565,124.910,0.000,0.000
78,824.817,991.335,947.204,105.957,0.000,0.000
79,385.035,980.573,969.423,69.716,0.000,0.000
80,505.839,980.513,976.679,79.767,0.000,0.000
81,1079.094,973.307,997.332,119.667,0.000,0.000
82,959.195,959.642,1013.821,111.409,0.000,0.000
83,395.442,957.514,1001.832,70.617,0.000,0.000
84,823.459,1001.911,928.480,102.722,0.000,0.000
85,530.724,982.951,918.940,81.759,0.000,0.000
86,838.390,978.672,942.562,103.602,0.000,0.000
87,1169.131,969.953,929.594,121.248,0.000,0.000
88,1410.740,938.767,951.004,134.187,0.000,0.000
89,1084.976,939.944,965.117,116.784,0.000,0.000
90,1749.625,940.006,970.032,153.240,0.000,0.000
91,953.313,931.269,988.255,109.475,0.000,0.000
92,1738.314,918.666,942.361,148.874,0.000,0.000
93,1157.820,901.155,963.049,120.663,0.000,0.000
94,1118.005,912.291,997.337,123.529,0.000,0.000
95,1578.147,899.018,1000.740,142.922,0.000,0.000
96,483.669,906.256,1008.103,77.977,0.000,0.000
97,888.160,875.455,963.227,105.815,0.000,0.000
98,1440.149,876.778,981.513,136.425,0.000,0.000
99,969.601,867.704,993.325,110.362,0.000,0.000
100,1607.556,860.130,1006.096,148.399,0.000,0.000
101,301.332,887.042,1003.770,61.463,0.000,0.000
102,1157.820,831.884,1004.743,120.626,0.000,0.000
103,790.883,838.115,997.065,99.675,0.000,0.000
104,681.843,843.350,985.091,92.595,0.000,0.000
105,1371.377,801.795,1068.502,131.332,0.000,0.000
106,1667.732,798.575,1045.289,144.830,0.000,0.000
107,1614.795,804.311,1027.806,142.390,0.000,0.000
108,1331.561,793.227,1022.756,129.472,0.000,0.000
109,492.718,814.242,992.810,82.226,0.000,0.000
110,480.050,817.599,981.232,77.366,0.000,0.000
111,670.531,805.965,983.403,96.820,0.000,0.000
112,670.531,805.648,970.816,91.900,0.000,0.000
113,946.978,781.276,1013.339,109.627,0.000,0.000
114,811.243,770.340,1012.328,100.943,0.000,0.000
115,927.523,754.872,1020.729,107.991,0.000,0.000
116,1003.082,751.680,1015.356,112.281,0.000,0.000
117,914.854,731.337,1020.901,107.229,0.000,0.000
118,1030.229,729.146,997.703,121.331,0.000,0.000
119,1041.088,713.154,982.202,114.358,0.000,0.000
